店舗ID,集計開始日,集計終了日,分類ID,分類名称,メニューID,メニュー名称,メニュータイプ,チョイスID,チョイス名称,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,消費税率区分
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214869,肉料理,1766487,和牛ハラミたたき,food,,,1309,1190,680,630,119,155771,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214860,一品,1766493,カニクリームグラタン,food,,,792,720,280,260,98,77616,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1766496,串カツ,food,,,209,190,15,14,64,13376,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214872,揚げもの,1766496,串カツ,food,,,209,190,15,14,56,11704,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214872,揚げもの,1766497,春巻き１本,food,,,242,220,52,49,66,15972,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214872,揚げもの,1766498,鶏のから揚げ,food,,,506,460,92,86,49,24794,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214872,揚げもの,1766500,ポテトフライ,food,,,506,460,75,70,67,33902,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214872,揚げもの,1766501,さつまあげ(自家製),food,,,506,460,138,128,58,29348,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766502,フードフリー,food,,,209,190,0,0,1,209,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766502,フードフリー,food,,,319,290,0,0,3,957,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766502,フードフリー,food,,,10004,9095,0,0,1,10004,,10
